Timing (ms)
2086.956
2608.695
3130.434
3652.1730000000002
6260.868
7304.3460000000005
10434.78
10956.519
11217.388500000001
11478.258000000002
11999.997000000001
12260.8665
14608.692000000001
15130.431
15391.300500000001
15913.0395
16434.7785
19043.4735
19565.2125
20086.951500000003
20608.6905
23739.1245
24782.6025
27130.428
27260.86275
27521.73225
27652.167
27782.60175
28043.471250000002
28173.906000000003
28304.340750000003
28565.21025
28695.645
28956.5145
29086.94925
31304.340000000004
31434.77475
31695.64425
31956.513750000002
32217.383250000003
32478.252750000003
32739.12225
33260.86125
35478.252
35608.68675
35869.55625
36260.8605
36391.29525
36521.73
36782.599500000004
36913.034250000004
36978.251625000004
37043.469000000005
37304.338500000005
2086.956
